ITEM #,CATEGORY,Name,DESCRIPTION,DIMENSIONS   (W x H x L),WS PRICE,MSRP,STRAP LENGTH, COLLECTION ,UPC CODE
0539510,Men's Wallet,Men's Trifold Wallet,"Men's trifold wallet with 7 card slots, 2 hidden pockets, and 1 bill pocket. Hand tooled vegetable tanned chocolate brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3 x 4,$21.00,$42.00,N/A,Men's wallets,671893036799
0540122,Men's Wallet,Men's Rodeo Wallet,"Men's rodeo wallet with flap for checkbook, 6 card slots, and 3 compartments. Hand tooled vegetable tanned mahogany leather, brown chrome leather, and brown suede. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.5 x 7,$24.50,$49.00,N/A,Men's wallets,671893017996
0550137,Men's Wallet,Men's Bifold Wallet,"Men's bi-fold wallet with 6 card slots, removable bi-fold ID holder, 2 hidden pockets and 1 bill pocket. Hand tooled vegetable tanned brown leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4.5 x 3.5,$21.00,$42.00,N/A,Men's wallets,671893023485
0585158,Men's Wallet,Men's Rodeo Wallet,"Men's rodeo wallet with flap for checkbook, 6 card slots, and 3 compartments. Hand-tooled vegetable tanned black and antique red leathers. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.5 x 7,$23.00,$46.00,N/A,Men's wallets,671893025373
0610799,New cell phone case,"Camera, PDA, Mp3 Player, Cell Phone Case","Small Case made to fit MP3 Players, digital cameras, PDAs, and cell phones. Snap closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned mahogany leather. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.25 x 5 x 1,$22.50,$45.00,N/A,Lady Ranger,671893036805
0910745,Gift,American West Signature Keychain,"American West signature keychain made with mahogany leather and a shiny silver star metal concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2 x 2,$6.00,$12.00,N/A,Keychains,671893035396
1101285,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned antique red leather, trimmed with medium brown hand tooled leather. Each handbag features a brass signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 7 x 3.5,$72.50,$145.00,"11-14"" drop",Peek-A-Boo,671893041434
1102285,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned antique turquoise leather, trimmed with medium brown hand tooled leather. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 7 x 3.5,$72.50,$145.00,"11-14"" drop",Peek-A-Boo,671893041441
1104285,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with medium brown stain to create a two-tone effect, and trimmed with medium brown hand tooled leather. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 7 x 3.5,$72.50,$145.00,"11-14"" drop",Peek-A-Boo,671893041458
1106285,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned light cream colored leather, trimmed with dark brown hand tooled leather. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 7 x 3.5,$72.50,$145.00,"11-14"" drop",Peek-A-Boo,671893041465
1107285,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with black stain to create a two-tone effect, and trimmed with black hand tooled leather. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 7 x 3.5,$72.50,$145.00,"11-14"" drop",Peek-A-Boo,671893041472
1515217,Handbag,Crossbody Zip-Top Bucket,"Crossbody Zip-Top Bucket, with back exterior zipper compartment and an adjustable shoulder strap. Inside has zipper pocket and two pouches. Hand-tooled vegetable tanned antique brown leather, with cream colored chrome leather trim. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 8 x 4,$72.50,$145.00,"21-25"" drop",Color Me Pretty,671893041311
1551112,Handbag,3 Compartment Traveler,"3 Compartment Traveler with multiple organizing pockets. 1 main compartment with zipper closure, and 2 outer compartments with magnetic closure. Inside also has a zipper pocket and two open pouches. Back zipper compartment, and 2 side open accessory pockets. Hand tooled vegetable tanned antique brown leather with cream leather trim and lacing decorations. Accented with a bold silver scroll buckle. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",14 x 12 x 4.5,$122.50,$245.00,"11"" drop",Road Trip Totes,671893041755
1551282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned antique brown leather with cream leather trim and lacing decorations. Accented with a bold silver scroll buckle. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$38.00,$76.00,N/A,Road Trip Totes,671893041816
1551560,Handbag,Zip Top Tote,"Zip Top Tote. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned caramel colored leather with cream-colored leather trim. Accented with lots of silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",12 x 11 x 5,$104.00,$208.00,"11"" drop ",Boot Scoot Boogie,671893039592
1551690,Dayplanner,Dayplanner/Address Book with Insert,"Zip-Around Dayplanner and address book with re-orderable daily planner and tabbed contact organizer. Inside has 6 flap pockets, 1 zipper compartment, 1 large pocket, and pen holder. Hand-tooled vegetable tanned caramel colored leather with cream-colored leather trim. Accented with lots of silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 10 x 1,$64.00,$128.00,N/A,Boot Scoot Boogie,671893041830
1578217,Handbag,Crossbody Zip-Top Bucket,"Crossbody Zip-Top Bucket, with back exterior zipper compartment and an adjustable shoulder strap. Inside has zipper pocket and two pouches. Hand-tooled vegetable tanned antique brown leather with antique turquoise leather trim. Accented with multi-colored floral decorations and stitch design, and features a silver floral concho. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 8 x 4,$72.50,$145.00,"21-25"" drop",Color Me Pretty,671893041359
1578394,Ladies' Accessory,Ladies' Accessory Case,"Ladies' Zipper Accessory Case. Inside is fully lined with plastic. Hand-tooled vegetable tanned antique brown leather with antique turquoise leather trim. Accented with multi-colored floral decorations and stitch design, and features a silver floral concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 4.5 x 3,$31.00,$62.00,N/A,Color Me Pretty,671893041847
1578690,Dayplanner,Dayplanner/Address Book with Insert,"Zip-Around Dayplanner and address book with re-orderable daily planner and tabbed contact organizer. Inside has 6 flap pockets, 1 zipper compartment, 1 large pocket, and pen holder. Hand-tooled vegetable tanned antique brown leather with antique turquoise leather trim. Accented with multi-colored floral decorations and stitch design, and features a silver floral concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 10 x 1,$60.00,$120.00,N/A,Color Me Pretty,671893041854
1578691,Dayplanner,Small Dayplanner with Insert,"Small dayplanner with reorderable daily planner. Hand-tooled vegetable tanned antique brown leather with antique turquoise leather trim. Accented with multi-colored floral decorations and stitch design. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",6 x 9,$34.00,$68.00,N/A,Color Me Pretty,671893041861
1578790,Gift,"Small Address Book, Checkbook Holder","Small address book/checkbook cover with contact organizer. Hand-tooled vegetable tanned antique brown leather with antique turquoise leather trim. Accented with multi-colored floral decorations and stitch design, and features a silver floral concho. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4 x 7,$27.00,$54.00,N/A,Color Me Pretty,671893041878
1599217,Handbag,Crossbody Zip-Top Bucket,"Crossbody Zip-Top Bucket, with back exterior zipper compartment and an adjustable shoulder strap. Inside has zipper pocket and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with medium brown stain to create a two-tone effect, and trimmed with medium brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each handbag features a brass signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 8 x 4,$72.50,$145.00,"21-25"" drop",Color Me Pretty,671893041366
1599282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Appaloosa Ranch,671893041885
1599338,Handbag,Small Zip-Top Satchel,"Small zip-top Satchel. Inside has zipper compartment and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with medium brown stain to create a two-tone effect, and trimmed with medium brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each handbag features a brass signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 7 x 4,$84.00,$168.00,"10"" drop",Appaloosa Ranch,671893041892
1599394,Ladies' Accessory,Ladies' Accessory Case,"Ladies' Zipper Accessory Case. Inside is fully lined with plastic. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 4.5 x 3,$32.00,$64.00,N/A,Appaloosa Ranch,671893041908
1599499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$21.00,$42.00,N/A,Appaloosa Ranch,671893041915
1599620,Handbag,Zip-Top Everyday Hobo with 2 Side Pockets,"Zip-top hobo with side pockets and adjustable strap. Inside has zipper compartment and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each handbag features a brass signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9.5 x 8 x 4.5 ,$89.00,$178.00,"11-12"" drop",Appaloosa Ranch,671893041922
1599647,Handbag,Zip-Top Bucket Tote,"Zip-Top Bucket Tote with back zipper compartment. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each handbag features a brass signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 9 x 3.5,$84.00,$168.00,"11"" drop",Sonoma Skies,671893041939
1599682,Ladies' Accessory,Wallet with Adjustable Strap,"Ladies Hipster Wallet with adjustable, detachable shoulder strap. Inside has two large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",8 x 4 x 1.5,$49.00,$98.00,"27 - 29"" drop",Appaloosa Ranch,671893041946
1599691,Dayplanner,Small Dayplanner with Insert,"Small dayplanner with reorderable daily planner. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",6 x 9,$34.00,$68.00,N/A,Appaloosa Ranch,671893041953
1599769,Handbag,3 Compartment Tote with side pockets,"Three compartment tote with side pockets. Inside has zipper compartment and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with medium brown stain to create a two-tone effect, and trimmed with medium brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each handbag features a brass signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 9 x 4.5,$110.00,$220.00,"11"" drop",Appaloosa Ranch,671893041960
1599790,Gift,"Small Address Book, Checkbook Holder","Small address book/checkbook cover with contact organizer. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",4 x 7,$27.00,$54.00,N/A,Appaloosa Ranch,671893041977
1599799,New cell phone case,"Camera, PDA, MP3 Player, Cell Phone Case","Small Case made to fit MP3 Players, digital cameras, PDAs, and cell phones. Snap closure on flap. Durable metal belt clip on back. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",3.25 x 5 x 1,$21.00,$42.00,N/A,Appaloosa Ranch,671893041984
1599882,Ladies' Wallet,Ladies' Tri-Fold French Wallet,"Ladies tri-fold french wallet with snap closure. Inside contains 8 card slots, clear ID window, and 7 compartments. Back has zipper coin pocket. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",5 x 4,$31.00,$62.00,N/A,Appaloosa Ranch,671893041991
1599900,Handbag,Zip-Top Shoulder Bag with Front Pocket,"Zip-top shoulder bag with adjustable shoulder strap. Front open pocket under flap. Inside has a zipper compartment and two pouches. Hand tooled vegetable tanned cream leather body that is hand-rubbed a second time with caramel brown stain to create a two-tone effect, and trimmed with caramel brown hand tooled leather. Accented with brass spots and a gold toned leather border. Each handbag features a brass signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 7 x 3,$79.00,$158.00,"11-13"" drop",Appaloosa Ranch,671893042004
1915270,Ladies' Wallet,Flap Wallet,"Ladies flap wallet with snap closure. Inside has three large compartments, a zipper compartment, 10 credit card compartments, and 2 clear ID windows. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$38.00,$76.00,N/A,Roses Are Red,671893042011
1915275,Handbag,Zip-Top Shoulder Bag,"Zip top shoulder bag with 2 front pouches and an adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",11 x 8 x 3.5,$84.00,$168.00,"12-14"" drop",Roses Are Red,671893042028
1915282,Ladies' Wallet,Ladies' Tri-Fold Wallet,"Ladies tri-fold wallet with snap closure. Inside contains flap for checkbook, 13 card slots, 5 compartments. Back has zipper coin pocket. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",7.5 x 4,$39.00,$78.00,N/A,Roses Are Red,671893042035
1915324,Handbag,Zip Top Tote with 3 Outside Pockets,"Zip-top tote with two side pockets and front open pocket with snap. Inside has zipper compartment and two pouches. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9.5 x 10 x 4,$94.50,$189.00,"11"" drop",Roses Are Red,671893042042
1915394,Ladies' Accessory,Ladies' Accessory Case,"Ladies' Zipper Accessory Case. Inside is fully lined with plastic. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",9 x 4.5 x 3,$32.00,$64.00,N/A,Roses Are Red,671893042059
1915427,Handbag,Scoop Top Structured Hobo,"Scoop-top hobo with adjustable shoulder strap. Inside has a zipper compartment and two pouches. Hand-tooled and hand painted red roses on vegetable tanned dark chocolate brown leather. Trimmed with hand tooled caramel leather and small silver spots. Each handbag features a silver signature keepsake and includes a protective storage bag. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",13 x 8 x 3.5,$99.00,$198.00,"13-14"" drop",Roses Are Red,671893042066
1915499,Cell Phone Case,Small Cell Phone Case,"Cell Phone Case made to fit phone up to 4"" tall. Velcro closure on flap. Durable metal belt clip on back. Hand-tooled and hand painted red rose on vegetable tanned dark chocolate brown leather. Trimmed with caramel leather and small silver spots. Each piece is made by hand, one at a time. This item is backed by the American West Lifetime Guarantee",2.5 x 4.5 x 1.5,$21.00,$42.00,N/A,Roses Are Red,671893042073
